conv_id,utterance_idx,context,prompt,translated_prompt,speaker_idx,utterance,translated_utterance,selfeval,tags,,,
hit:0_conv:1,1,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",1,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.,"أتذكر أنني ذهبت لمشاهدة الألعاب النارية مع أعز أصدقائي. كانت هذه هي المرة الأولى التي قضينا فيها وقتًا بمفردنا معًا. على الرغم من وجود الكثير من الأشخاص ، إلا أننا شعرنا بأننا الأشخاص الوحيدون في العالم.",5|5|5_2|2|5,,,,
hit:0_conv:1,2,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",0,Was this a friend you were in love with_comma_ or just a best friend?,هل كان هذا الصديق الذي كنت تحبه أم مجرد أفضل صديق؟,5|5|5_2|2|5,,,,
hit:0_conv:1,3,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",1,This was a best friend. I miss her.,كان هذا أفضل صديق. اشتقت لها.,5|5|5_2|2|5,,,,
hit:0_conv:1,4,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",0,Where has she gone?,اين ذهبت؟,5|5|5_2|2|5,,,,
hit:0_conv:1,5,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",1,We no longer talk.,لم نعد نتحدث.,5|5|5_2|2|5,,,,
hit:0_conv:1,6,sentimental,I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,"أتذكر ذهابي إلى الألعاب النارية مع أعز أصدقائي. كان هناك الكثير من الناس ، لكن هذا شعرنا وكأننا فقط في العالم.",0,Oh was this something that happened because of an argument?,هل كان هذا شيئًا حدث بسبب جدال؟,5|5|5_2|2|5,,,,
hit:1_conv:2,1,afraid, i used to scare for darkness,كنت أخاف من الظلام,2, it feels like hitting to blank wall when i see the darkness,أشعر وكأنني ضرب على جدار فارغ عندما أرى الظلام,4|3|4_3|5|5,,,,
hit:1_conv:2,2,afraid, i used to scare for darkness,كنت أخاف من الظلام,3,Oh ya? I don't really see how,أجل؟ أنا حقا لا أرى كيف,4|3|4_3|5|5,,,,
hit:1_conv:2,3,afraid, i used to scare for darkness,كنت أخاف من الظلام,2,dont you feel so.. its a wonder ,لا تشعر بذلك .. إنه لأمر عجيب,4|3|4_3|5|5,,,,
hit:1_conv:2,4,afraid, i used to scare for darkness,كنت أخاف من الظلام,3,I do actually hit blank walls a lot of times but i get by,أصطدم بالفعل بجدران فارغة في كثير من الأحيان لكنني أتفوق عليها,4|3|4_3|5|5,,,,
