conv_id	utterance_idx	context	prompt	translated_prompt	speaker_idx	utterance	translated_utterance	selfeval	tags			
hit:3_conv:7	1	joyful	I am very happy to have been first over 300 students during this years at my enginering school	يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية	7	Hi_comma_ this year_comma_ I was the first over 300 students at my enginering school	مرحبًا ، هذا العام ، كنت أول أكثر من 300 طالب في مدرستي الهندسية	5|5|5_4|5|5	<HI>			
hit:3_conv:7	2	joyful	I am very happy to have been first over 300 students during this years at my enginering school	يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية	6	Sounds great! So what's your major?	يبدو عظيما! إذن ما هو تخصصك؟	5|5|5_4|5|5				
hit:3_conv:7	3	joyful	I am very happy to have been first over 300 students during this years at my enginering school	يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية	7	It is computer science. I am very happy of this achievement and my family is very proud.	إنه علم الحاسوب. أنا سعيد جدًا بهذا الإنجاز وعائلتي فخورة جدًا به.	5|5|5_4|5|5				
hit:3_conv:7	4	joyful	I am very happy to have been first over 300 students during this years at my enginering school	يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية	6	Well pleased. You should be having brains_comma_man!That's a tough course_comma_i hear.	يسر بشكل جيد. يجب أن يكون لديك عقول يا رجل ، هذا مسار صعب ، أسمع.	5|5|5_4|5|5				
hit:5_conv:10	1	sad	One year during christmas_comma_ i did not get a single gift. It was a rough day for me.	سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.	9	During christmas a few years ago_comma_ I did not get any presents.	خلال عيد الميلاد قبل بضع سنوات ، لم أحصل على أي هدايا.	5|1|5_5|5|5				
hit:5_conv:10	2	sad	One year during christmas_comma_ i did not get a single gift. It was a rough day for me.	سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.	10	Wow_comma_ that must be terrible_comma_ I cannot imagine_comma_ I lvoe christmas	واو ، يجب أن يكون هذا فظيعًا ، لا أستطيع أن أتخيل ، أنا أحب عيد الميلاد	5|1|5_5|5|5				
hit:5_conv:10	3	sad	One year during christmas_comma_ i did not get a single gift. It was a rough day for me.	سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.	9	Since that day christmas has not been a good time for me. As I have no family_comma_ christmas is always the worst.	منذ ذلك اليوم ، لم يكن عيد الميلاد هو الوقت المناسب لي. بما أنه ليس لدي عائلة ، فإن عيد الميلاد هو الأسوأ دائمًا.	5|1|5_5|5|5				
hit:5_conv:10	4	sad	One year during christmas_comma_ i did not get a single gift. It was a rough day for me.	سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.	10	Wow_comma_ I am sorry to hear that_comma_ I wish I could make it a better holiday for you!	واو ، أنا آسف لسماع ذلك ، أتمنى أن أجعلها عطلة أفضل لك!	5|1|5_5|5|5				
hit:5_conv:10	5	sad	One year during christmas_comma_ i did not get a single gift. It was a rough day for me.	سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.	9	Some days are just days that you never forget. I wish you could as well.	بعض الأيام هي مجرد أيام لا تنساها أبدًا. أتمنى أن تستطيع كذلك.	5|1|5_5|5|5				
hit:7_conv:15	1	sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.	تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.	5	People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.	يتم رفض الأشخاص طوال الوقت ولكن لا ينبغي أن يكون ذلك عذرًا لتثنيك عن الوصول إلى أهدافك.	5|4|5_5|5|5				
