conv_id,utterance_idx,context,prompt,translated_prompt,speaker_idx,utterance,translated_utterance,selfeval,tags,,,
hit:3_conv:7,1,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,7,Hi_comma_ this year_comma_ I was the first over 300 students at my enginering school,"مرحبًا ، هذا العام ، كنت أول أكثر من 300 طالب في مدرستي الهندسية",5|5|5_4|5|5,<HI>,,,
hit:3_conv:7,2,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,6,Sounds great! So what's your major?,يبدو عظيما! إذن ما هو تخصصك؟,5|5|5_4|5|5,,,,
hit:3_conv:7,3,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,7,It is computer science. I am very happy of this achievement and my family is very proud.,إنه علم الحاسوب. أنا سعيد جدًا بهذا الإنجاز وعائلتي فخورة جدًا به.,5|5|5_4|5|5,,,,
hit:3_conv:7,4,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,6,Well pleased. You should be having brains_comma_man!That's a tough course_comma_i hear.,"يسر بشكل جيد. يجب أن يكون لديك عقول يا رجل ، هذا مسار صعب ، أسمع.",5|5|5_4|5|5,,,,

hit:14_conv:29,1,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.,20,Planning out my new home has turned out to be a blast!,لقد تحول التخطيط لمنزلي الجديد إلى انفجار!,4|5|5_4|5|4,,,,
hit:14_conv:29,2,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.,19,What kind of house are you building? ,ما نوع المنزل الذي تبنيه؟,4|5|5_4|5|4,,,,
hit:14_conv:29,3,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.,20,I just moved in so it is already built. Just working on planning out decorating and appliances and such.,لقد انتقلت للتو لذلك تم بناؤه بالفعل. فقط أعمل على تخطيط الديكور والأجهزة المنزلية وما شابه.,4|5|5_4|5|4,,,,
hit:14_conv:29,4,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.,19,That sounds great. What are you most excited for? ,هذا يبدو رائعًا. ما هي أكثر الأمور التي متحمس ل؟,4|5|5_4|5|4,,,,
hit:14_conv:29,5,joyful,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.,20,I think I am most excited for all the space I have. I can have friends over and not feel cramped.,أعتقد أنني متحمس للغاية لكل المساحة التي أمتلكها. يمكن أن يكون لدي أصدقاء ولا أشعر بالضيق.,4|5|5_4|5|4,,,,
